"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C3,C1";"C_0402_1005Metric_Pad0.74x0.62mm_HandSolder";2;"5.5 uF";;;
2;"J2,J3";"PinHeader_1x04_P1.27mm_Vertical";2;"Screw_Terminal_01x04";;;
3;"R4,R2,R1";"R_4020_10251Metric_Pad1.65x5.30mm_HandSolder";3;"4k7";;;
4;"C2";"C_0402_1005Metric_Pad0.74x0.62mm_HandSolder";1;"55 pF";;;
5;"A1,A2";"Pololu_Breakout-16_15.2x20.3mm";2;"Pololu_Breakout_A4988";;;
6;"Q1";"TO-92_Inline";1;"2N7000";;;
7;"U1";"DIP-8_W7.62mm";1;"LM2594N-3.3";;;
8;"CIN1";"C_3640_9110Metric_Pad2.10x10.45mm_HandSolder";1;"68 uF";;;
9;"COUT1";"C_3640_9110Metric_Pad2.10x10.45mm_HandSolder";1;"120 uF";;;
10;"H4,H1,H3,H2";"MountingHole_2.1mm";4;"MountingHole";;;
11;"SW1";"SW_Push_1P1T_NO_6x6mm_H9.5mm";1;"SW_Push";;;
12;"U2";"ESP32-S2-WROVER";1;"ESP32-S2-WROVER";;;
13;"D2";"LED_2512_6332Metric_Pad1.52x3.35mm_HandSolder";1;"RED";;;
14;"J1";"BarrelJack_CUI_PJ-063AH_Horizontal";1;"Barrel_Jack";;;
15;"L1";"L_Axial_L9.5mm_D4.0mm_P2.54mm_Vertical_Fastron_SMCC";1;"100 uH";;;
16;"J4";"PinHeader_1x02_P1.27mm_Vertical";1;"Screw_Terminal_01x02";;;
17;"G1";"ESP32-CAM";1;"ESP32-CAM";;;
18;"D1";"D_3220_8050Metric_Pad2.65x5.15mm_HandSolder";1;"D_Schottky";;;
